combined_LN_type,broad_LN_group,n_ln_body_ids,source_LN_types,source_LN_instances,orn_input_total,pn_output_weight_total,mean_pn_output_weight_total,median_pn_output_weight_total,mean_contra_orn_preference_weighted,median_contra_orn_preference_weighted,mean_sum_pn_output_percent,median_sum_pn_output_percent,mean_max_glomerulus_pn_output_percent,mean_pn_weighted_contra_orn_preference,mean_body_convergence_score,sum_body_convergence_score,type_score_rank
CB1686,other,8,CB1686,CB1686_L;CB1686_R,446.0,3014.0,376.75,371.5,0.18396582079071305,0.25023817084788824,26.411067339885268,27.085557790833022,4.845873398641052,0.08663412440037375,1.3152275791718413,10.52182063337473,19
lLN1,lLN1,33,lLN1_a;lLN1_bc,lLN1_a_L;lLN1_a_R;lLN1_bc_L;lLN1_bc_R,2462.0,61232.0,1855.5151515151515,1773.0,0.2137732586551053,0.28846153846153844,18.409220542369354,18.229650263076444,2.1300975723311084,0.0927241326782461,1.6694893411134064,55.09314825674241,18
CB1824,other,7,CB1824,CB1824_L;CB1824_R,328.0,730.0,104.28571428571429,98.0,0.46199011984924493,0.3953488372093023,14.544971455614952,15.350389321468297,11.915915639361142,0.3582213563279481,1.6962267230153854,11.873587061107697,17
lLN2X09,other lLN,2,lLN2X09,lLN2X09_L;lLN2X09_R,677.0,1696.0,848.0,848.0,0.28141267359514394,0.28141267359514394,20.2471316018598,20.2471316018598,2.769765462387679,0.23835243664815953,1.8897109931711331,3.7794219863422662,16
CB3326,other,1,CB3326,CB3326_R,38.0,134.0,134.0,134.0,0.5263157894736842,0.5263157894736842,12.511671335200747,12.511671335200747,3.6414565826330536,0.5042424242424243,1.9621099113753717,1.9621099113753717,15
CB1473,other,5,CB1473,CB1473_L;CB1473_R,232.0,1818.0,363.6,399.0,0.43971637885923603,0.44,26.409266376297477,26.582278481012654,6.082958651904997,0.23352870006344695,2.1556712157962576,10.778356078981288,14
lLN2P,lLN2P,34,lLN2P_a;lLN2P_b;lLN2P_c,lLN2P_a_L;lLN2P_a_R;lLN2P_b_L;lLN2P_b_R;lLN2P_c_L;lLN2P_c_R,26221.0,45496.0,1338.1176470588234,1100.5,0.3298571082537865,0.3222146521878172,17.0151604771213,14.492251807641354,6.569514028879195,0.29299114395360804,2.334106589164616,79.35962403159694,13
CB3417,other,2,CB3417,CB3417_L;CB3417_R,157.0,566.0,283.0,283.0,0.42054329371816634,0.42054329371816634,9.342285427963946,9.342285427963946,3.0881367149675203,0.33967960316455265,2.374442027578797,4.748884055157594,12
lLN2T,lLN2T,22,lLN2T_b;lLN2T_c;lLN2T_d;lLN2T_e;lLN2X03,lLN2T_b_L;lLN2T_b_R;lLN2T_c_L;lLN2T_c_R;lLN2T_d_L;lLN2T_d_R;lLN2T_e_L;lLN2T_e_R;lLN2X03_L;lLN2X03_R,50379.0,46189.0,2099.5,2234.0,0.4241010405274027,0.4344745340441485,15.307112510516628,15.168404903224987,2.435621530261639,0.39712571453248807,3.2217476575543005,70.87844846619461,11
v2LN30,v2LN3,2,v2LN30,v2LN30_L;v2LN30_R,4309.0,21787.0,10893.5,10893.5,0.4189008626448984,0.4189008626448984,32.12765918085675,32.12765918085675,3.893992531480039,0.37421779971802427,3.8976197197367703,7.795239439473541,10
lLN2X06,other lLN,3,lLN2X06,lLN2X06_L;lLN2X06_R,1293.0,1262.0,420.6666666666667,407.0,0.7203853888923577,0.7601918465227818,7.269855882997401,6.912531376713652,1.9276988964164865,0.7889496877157075,4.354138636576052,13.062415909728156,9
lLN2X05,other lLN,4,lLN2X05,lLN2X05_L;lLN2X05_R,2401.0,5996.0,1499.0,1502.5,0.662903222032084,0.6647841173896674,14.503181413992678,14.34670168138091,2.184359894699741,0.6739424574569991,4.84340456066831,19.37361824267324,8
lLN2X04,other lLN,4,lLN2X04,lLN2X04_L;lLN2X04_R,5572.0,9740.0,2435.0,2444.0,0.6572888752143772,0.6598929974986538,16.52626506367997,16.480134464743593,1.5824831138387787,0.6557347662654764,5.124219554699575,20.4968782187983,7
lLN2X10,other lLN,4,lLN2X10,lLN2X10_L;lLN2X10_R,2271.0,4231.0,1057.75,1068.5,0.7430571647291989,0.7578745710121761,15.248506642686973,14.941374332083473,2.406016427594203,0.736592205883784,5.168607092071468,20.674428368285874,6
lLN2F,lLN2F,8,lLN2F_a;lLN2F_b,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,50179.0,13533.0,1691.625,1653.5,0.700168737200585,0.7029945345392082,5.6460033671378875,5.750467748939338,0.7929633631006254,0.7033864575305806,5.202836578479577,41.622692627836614,5
lLN2X12,other lLN,13,lLN2X12,lLN2X12_L;lLN2X12_R,10242.0,14404.0,1108.0,1108.0,0.7431167162888307,0.719626168224299,13.814116014117765,13.669873797326002,1.8377712029724418,0.7154947171755969,5.207083429625407,67.69208458513029,4
lLN2X07,other lLN,3,lLN2X07,lLN2X07_L;lLN2X07_R,1684.0,1799.0,599.6666666666666,598.0,0.825261551078026,0.8272327964860908,10.58749799075917,10.376539996529585,2.190809503218295,0.7912468627856631,5.280114324238959,15.840342972716877,3
lLN2X11,other lLN,4,lLN2X11,lLN2X11_L;lLN2X11_R,4042.0,7024.0,1756.0,1737.5,0.7107458134261602,0.7063765143746914,13.719980429006888,13.763608674250449,1.6796876844045778,0.6822131750913585,5.304266763885937,21.217067055543748,2
il3LN6,il3LN,4,il3LN6,il3LN6_L;il3LN6_R,32668.0,7942.0,1985.5,2001.0,0.8670458142121641,0.8670163160397683,10.762108410446913,10.477933996363497,3.421954258095027,0.8789122827733511,6.571630461888963,26.286521847555854,1
